AAPL US Equity,Quaterly EPS,Share Price,,NVDA US Equity,Quaterly EPS,Share Price,,MNST US Equity,Quaterly EPS,Share Price,,CELH US Equity,Quaterly EPS,Share Price,,RMS FP Equity,Quaterly EPS,Share Price,,P911 GR Equity,Quaterly EPS,Share Price,,GOOGL US Equity,Quaterly EPS,Share Price,,AMZN US Equity,Quaterly EPS,Share Price,,SMCI US Equity,Quaterly EPS,Share Price
9/28/2002,-0.0023,0.222,,7/28/2002,0.0002,0.1124,,9/30/2002,0.0014,0.043,,9/30/2009,-0.1333,2.867,,12/31/2005,1.27,56.941,,,,,,3/31/2007,0.081,11.437,,9/30/2002,-0.0045,0.797,,9/30/2009,0.11,8.46
12/28/2002,-0.0004,0.212,,10/27/2002,-0.0027,0.0848,,12/31/2002,0.0001,0.044,,12/31/2009,-0.1,1.687,,6/30/2006,1.09,56.633,,,,,,6/30/2007,0.0745,13.048,,12/31/2002,0.0005,0.945,,12/31/2009,0.21,11.12
3/29/2003,0.0007,0.22,,1/26/2003,0.0027,0.0777,,3/31/2003,0.0006,0.045,,3/31/2010,-0.1333,1.083,,12/31/2006,1.42,77.599,,,,,,9/30/2007,0.086,14.16,,3/31/2003,-0.0015,1.302,,3/31/2010,0.21,17.28
6/28/2003,0.0009,0.282,,4/27/2003,0.001,0.1036,,6/30/2003,0.002,0.045,,6/30/2010,-0.0533,0.61,,6/30/2007,1.2,69.441,,,,,,12/31/2007,0.0965,17.261,,6/30/2003,-0.0055,1.816,,6/30/2010,0.2,13.5
9/27/2003,0.0021,0.312,,7/27/2003,0.0013,0.161,,9/30/2003,0.0022,0.061,,9/30/2010,-0.09,0.45,,12/31/2007,1.51,71.535,,,,,,3/31/2008,0.1043,10.995,,9/30/2003,0.002,2.422,,9/30/2010,0.19,10.39
12/27/2003,0.003,0.313,,10/26/2003,0.0003,0.1308,,12/31/2003,0.0013,0.088,,12/31/2010,-0.1,0.14,,6/30/2008,1.28,83.628,,,,,,6/30/2008,0.0993,13.141,,12/31/2003,0.009,2.631,,12/31/2010,0.3,11.54
3/27/2004,0.0023,0.408,,1/25/2004,0.0013,0.1765,,3/31/2004,0.0022,0.146,,3/31/2011,-0.0067,0.13,,12/31/2008,1.84,83.628,,,,,,9/30/2008,0.1025,9.998,,3/31/2004,0.014,2.164,,3/31/2011,0.28,16.04
6/26/2004,0.0029,0.508,,4/25/2004,0.0011,0.1776,,6/30/2004,0.005,0.264,,6/30/2011,-0.0067,0.107,,6/30/2009,1.19,83.689,,,,,,12/31/2008,0.0305,7.68,,6/30/2004,0.0095,2.72,,6/30/2011,0.27,16.09
9/25/2004,0.005,0.562,,7/25/2004,0.0002,0.1117,,9/30/2004,0.0056,0.251,,9/30/2011,-0.0033,0.06,,12/31/2009,1.56,78.879,,,,,,3/31/2009,0.1128,8.688,,9/30/2004,0.0065,2.043,,9/30/2011,0.21,12.53
12/25/2004,0.0134,0.965,,10/24/2004,0.0013,0.1015,,12/31/2004,0.007,0.379,,12/31/2011,-0.0133,0.07,,6/30/2010,1.85,93.008,,,,,,6/30/2009,0.1175,10.524,,12/31/2004,0.0425,2.215,,12/31/2011,0.21,15.68
3/26/2005,0.0129,1.282,,1/30/2005,0.0024,0.1749,,3/31/2005,0.0083,0.625,,3/31/2012,-0.01,0.133,,12/31/2010,2.16,133.814,,,,,,9/30/2009,0.1295,12.378,,3/31/2005,0.0095,1.714,,3/31/2012,0.17,17.46
6/25/2005,0.0139,1.139,,5/1/2005,0.0016,0.1676,,6/30/2005,0.0144,0.883,,6/30/2012,-0.02,0.133,,6/30/2011,2.77,175.717,,,,,,12/31/2009,0.1555,15.476,,6/30/2005,0.0065,1.655,,6/30/2012,0.13,15.86
